"Genesis 1:27","So God created man in his own image","So God created man in his own image, in the image of God he created him; male and female he created them."
"Leviticus 22:31","So you shall keep my commandments","So you shall keep my commandments and do them: I am the LORD."
"Deuteronomy 6:5","You shall love the LORD your God","You shall love the LORD your God with all your heart and with all your soul and with all your might."
"1 Chronicles 16:8","Oh give thanks to the LORD","Oh give thanks to the LORD; call upon his name; make known his deeds among the peoples!"
"Job 37:14","Hear this, O Job","Hear this, O Job; stop and consider the wondrous works of God."
"Psalm 19:14","Let the words of my mouth","Let the words of my mouth and the meditation of my heart be acceptable in your sight, O LORD, my rock and my redeemer."
"Psalm 54:2","O God, hear my prayer","O God, hear my prayer; give ear to the words of my mouth."
"Psalm 145:9","The LORD is good to all","The LORD is good to all, and his mercy is over all that he has made."
"Proverbs 8:33","Hear instruction","Hear instruction and be wise, and do not neglect it."
"Proverbs 20:11","Even a child makes himself known","Even a child makes himself known by his acts, by whether his conduct is pure and upright."
"Micah 6:8","He has told you, O man","He has told you, O man, what is good; and what does the LORD require of you but to do justice, and to love kindness, and to walk humbly with your God?"
"Matthew 5:44","But I say to you, Love your enemies","But I say to you, Love your enemies and pray for those who persecute you."
"Matthew 21:22","And whatever you","And whatever you ask in prayer, you will receive, if you have faith."
"Mark 13:31","Heaven and earth will pass","Heaven and earth will pass away, but my words will not pass away."
"Luke 6:31","And as you wish that others","And as you wish that others would do to you, do so to them."
"John 8:32","And you will know","And you will know the truth, and the truth will set you free."
"John 15:13","Greater love has no one","Greater love has no one than this, that someone lay down his life for his friends."
"Acts 1:8","But you will receive power","But you will receive power when the Holy Spirit has come upon you, and you will be my witnesses in Jerusalem and in all Judea and Samaria, and to the end of the earth."
"Romans 14:12","So then each of us","So then each of us will give an account of himself to God."
"1 Corinthians 10:31","So, whether you eat","So, whether you eat or drink, or whatever you do, do all to the glory of God."
"1 Corinthians 14:40","But all things should be","But all things should be done decently and in order."
"Ephesians 6:1","Children, obey","Children, obey your parents in the Lord, for this is right."
"Philippians 4:13","I can do all things","I can do all things through him who strengthens me."
"James 1:19","Know this, my beloved brothers: let every person","Know this, my beloved brothers: let every person be quick to hear, slow to speak, slow to anger."
"1 John 4:19","We love","We love because he first loved us."