"Genesis 1:27","So God created man in his own image","So God created man in his own image, in the image of God created he him; male and female created he them."
"Leviticus 22:31","Therefore shall ye keep my commandments","Therefore shall ye keep my commandments, and do them: I am the LORD."
"Deuteronomy 6:5","And thou shalt love the LORD thy God","And thou shalt love the LORD thy God with all thine heart, and with all thy soul, and with all thy might."
"1 Chronicles 16:8","Give thanks unto the LORD","Give thanks unto the LORD, call upon his name, make known his deeds among the people."
"Job 37:14","Hearken unto this, O Job","Hearken unto this, O Job: stand still, and consider the wondrous works of God."
"Psalm 19:14","Let the words of my mouth","Let the words of my mouth, and the meditation of my heart, be acceptable in thy sight, O LORD, my strength, and my redeemer."
"Psalm 54:2","Hear my prayer, O God","Hear my prayer, O God; give ear to the words of my mouth."
"Psalm 145:9","The LORD is good to all","The LORD is good to all: and his tender mercies are over all his works."
"Proverbs 8:33","Hear instruction","Hear instruction, and be wise, and refuse it not."
"Proverbs 20:11","Even a child is known","Even a child is known by his doings, whether his work be pure, and whether it be right."
"Micah 6:8","He hath shewed thee, O man, what is good","He hath shewed thee, O man, what is good; and what doth the LORD require of thee, but to do justly, and to love mercy, and to walk humbly with thy God?"
"Matthew 5:44","But I say unto you, Love your enemies","But I say unto you, Love your enemies, bless them that curse you, do good to them that hate you, and pray for them which despitefully use you, and persecute you."
"Matthew 21:22","And all things, whatsoever ye","And all things, whatsoever ye shall ask in prayer, believing, ye shall receive."
"Mark 13:31","Heaven and earth shall pass","Heaven and earth shall pass away: but my words shall not pass away."
"Luke 6:31","And as ye would that men","And as ye would that men should do to you, do ye also to them likewise."
"John 8:32","And ye shall know","And ye shall know the truth, and the truth shall make you free."
"John 15:13","Greater love hath no man","Greater love hath no man than this, that a man lay down his life for his friends."
"Acts 1:8","But ye shall receive power","But ye shall receive power, after that the Holy Ghost is come upon you: and ye shall be witnesses unto me both in Jerusalem, and in all Judea, and in Samaria, and unto the uttermost part of the earth."
"Romans 14:12","So then every one of us","So then every one of us shall give account of himself to God."
"1 Corinthians 10:31","Whether therefore ye ea","Whether therefore ye eat, or drink, or whatsoever ye do, do all to the glory of God."
"1 Corinthians 14:40","Let all things be","Let all things be done decently and in order."
"Ephesians 6:1","Children, obey","Children, obey your parents in the Lord: for this is right."
"Philippians 4:13","I can do all things","I can do all things through Christ which strengtheneth me."
"James 1:19","Wherefore, my beloved brethren, let every man be","Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath."
"1 John 4:19","We love him","We love him, because he first loved us."